checkpoint,context_fid,laplace_b
audio2latent_backbone:gru_layerwise:dense:18_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps743040_val0.0421,52.76957321166992,0.031572398255813955
audio2latent_backbone:gru_layerwise:dense:18_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps866880_val0.0427,53.0827751159668,0.03188409520348837
audio2latent_backbone:gru_layerwise:dense:18_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps990720_val0.0430,53.038360595703125,0.03241338662790698
audio2latent_backbone:gru_layerwise:dense:18_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1114560_val0.0432,53.30893325805664,0.03205969476744186
audio2latent_backbone:gru_layerwise:dense:18_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1238400_val0.0438,53.54297637939453,0.03324620639534884
audio2latent_backbone:conv:skipFalse_layerwise:conv:3_hidden_size:64_num_layers:8_dropout:0.2_lr:0.001_wd:0_steps123840_val0.0384,58.347145080566406,0.030546922238372094
audio2latent_backbone:conv:skipFalse_layerwise:conv:3_hidden_size:64_num_layers:8_dropout:0.2_lr:0.001_wd:0_steps247680_val0.0369,57.104820251464844,0.01564530159883721
audio2latent_backbone:conv:skipFalse_layerwise:conv:3_hidden_size:64_num_layers:8_dropout:0.2_lr:0.001_wd:0_steps371520_val212.1947,27238.23828125,7.398477209302325
audio2latent_backbone:conv:skipFalse_layerwise:conv:3_hidden_size:64_num_layers:8_dropout:0.2_lr:0.001_wd:0_steps495360_val0.8526,120.50254821777344,0.42891578488372095
audio2latent_backbone:conv:skipFalse_layerwise:conv:3_hidden_size:64_num_layers:8_dropout:0.2_lr:0.001_wd:0_steps619200_val839975.5625,37995596.0,272.63181395348835
audio2latent_backbone:conv:skipFalse_layerwise:conv:3_hidden_size:64_num_layers:8_dropout:0.2_lr:0.001_wd:0_steps743040_val1475620.6250,1375408.875,22.078883720930232
audio2latent_backbone:conv:skipFalse_layerwise:conv:3_hidden_size:64_num_layers:8_dropout:0.2_lr:0.001_wd:0_steps866880_val58.0941,18620.966796875,3.4782539534883723
audio2latent_backbone:conv:skipFalse_layerwise:conv:3_hidden_size:64_num_layers:8_dropout:0.2_lr:0.001_wd:0_steps990720_val27.9637,8609.1455078125,3.5101020930232556
audio2latent_backbone:conv:skipFalse_layerwise:conv:3_hidden_size:64_num_layers:8_dropout:0.2_lr:0.001_wd:0_steps1114560_val1762.6827,659508.1875,27.156368372093024
audio2latent_backbone:conv:skipFalse_layerwise:conv:3_hidden_size:64_num_layers:8_dropout:0.2_lr:0.001_wd:0_steps1238400_val40588.0430,10433131.0,140.40802232558138
audio2latent_backbone:gru:skipTrue_layerwise:conv:6_hidden_size:128_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps123520_val0.0410_b0.0368,54.185726165771484,0.0364636300872093
audio2latent_backbone:gru:skipTrue_layerwise:conv:6_hidden_size:128_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps247040_val0.0438_b0.0448,52.61326599121094,0.04480392805232558
audio2latent_backbone:gru:skipTrue_layerwise:conv:6_hidden_size:128_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps370560_val0.0442_b0.0464,53.11122512817383,0.047173412063953486
audio2latent_backbone:gru:skipTrue_layerwise:conv:6_hidden_size:128_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps494080_val0.0448_b0.0472,54.85123825073242,0.04757838299418605
audio2latent_backbone:gru:skipTrue_layerwise:conv:6_hidden_size:128_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps617600_val0.0452_b0.0486,53.793190002441406,0.04820217659883721
audio2latent_backbone:gru:skipTrue_layerwise:conv:6_hidden_size:128_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps741120_val0.0456_b0.0487,54.60506057739258,0.048901460755813954
audio2latent_backbone:gru:skipTrue_layerwise:conv:6_hidden_size:128_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps864640_val0.0456_b0.0485,53.96223831176758,0.04906453851744186
audio2latent_backbone:gru:skipTrue_layerwise:conv:6_hidden_size:128_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps988160_val0.0454_b0.0497,56.88037872314453,0.04881740188953489
audio2latent_backbone:gru:skipTrue_layerwise:conv:6_hidden_size:128_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps00123520_fcd55.7921_b0.0309_val0.0398,56.797447204589844,0.030884807412790698
audio2latent_backbone:gru:skipTrue_layerwise:conv:6_hidden_size:128_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps00247040_fcd54.8775_b0.0405_val0.0431,55.870521545410156,0.04018990552325581
